Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-mgaa,checkpoint-z52s,checkpoint-u6nu,checkpoint-puaw,checkpoint-axcr,checkpoint-mrc4,branch-ult5
1,1562800780003,10/07/2019 23:19:40,1562800779888,-4,10/07/2019 19:19:39,8835,5,task-fdef,,2797888,5be36f917432c0000189d51c,774571,,complete,,5d267197ba456a0015106ebb,computer,Desktop or Laptop,Mac OS 10.14.5,Chrome 75.0.3770.100,1920x1080,1919x978,after questionnairs,Pre Max Tapping Instruction,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept
2,1562800799462,10/07/2019 23:19:59,1562800799347,-4,10/07/2019 19:19:59,8835,5,task-fdef,,2797888,5be36f917432c0000189d51c,774571,,complete,,5d267197ba456a0015106ebb,computer,Desktop or Laptop,Mac OS 10.14.5,Chrome 75.0.3770.100,1920x1080,1919x978,after questionnairs,Pre Max Tapping Instruction,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept
3,1562800806729,10/07/2019 23:20:06,1562800806689,-4,10/07/2019 19:20:06,8835,5,task-fdef,,2797888,5be36f917432c0000189d51c,774571,,complete,,5d267197ba456a0015106ebb,computer,Desktop or Laptop,Mac OS 10.14.5,Chrome 75.0.3770.100,1920x1080,1919x978,after questionnairs,Pre Max Tapping Instruction,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept
1,1562800811470,10/07/2019 23:20:11,1562800811344,3,11/07/2019 02:20:11,8835,5,task-fdef,,2797895,5ae0b456dc323f0001635e0b,774572,,complete,,5d2671806dc5bd00198aa4d5,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1200,1920x1127,after questionnairs,Pre Max Tapping Instruction,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept
2,1562800826055,10/07/2019 23:20:26,1562800825975,3,11/07/2019 02:20:25,8835,5,task-fdef,,2797895,5ae0b456dc323f0001635e0b,774572,,complete,,5d2671806dc5bd00198aa4d5,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1200,1920x1127,after questionnairs,Pre Max Tapping Instruction,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept
3,1562800854064,10/07/2019 23:20:54,1562800853938,3,11/07/2019 02:20:53,8835,5,task-fdef,,2797895,5ae0b456dc323f0001635e0b,774572,,complete,,5d2671806dc5bd00198aa4d5,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1920x1200,1920x1127,after questionnairs,Pre Max Tapping Instruction,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept
1,1562801626564,10/07/2019 23:33:46,1562801626003,-5,10/07/2019 18:33:46,8835,5,task-fdef,,2797948,5b676f4d3662a80001590769,774602,,complete,,5d26740822313100010599c0,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x768,after questionnairs,Pre Max Tapping Instruction,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept
2,1562801643258,10/07/2019 23:34:03,1562801642797,-5,10/07/2019 18:34:02,8835,5,task-fdef,,2797948,5b676f4d3662a80001590769,774602,,complete,,5d26740822313100010599c0,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x768,after questionnairs,Pre Max Tapping Instruction,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept
3,1562801651817,10/07/2019 23:34:11,1562801651369,-5,10/07/2019 18:34:11,8835,5,task-fdef,,2797948,5b676f4d3662a80001590769,774602,,complete,,5d26740822313100010599c0,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x768,after questionnairs,Pre Max Tapping Instruction,3,Low to High,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept
1,1562803432332,11/07/2019 00:03:52,1562803432361,-4,10/07/2019 20:03:52,8835,5,task-fdef,,2798002,5b134a12bd9c31000156d4e2,774636,,complete,,5d267bbd1f84d50001e2e322,computer,Desktop or Laptop,Chromium OS 11895.118.0,Chrome 74.0.3729.159,1366x768,1366x641,after questionnairs,Pre Max Tapping Instruction,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept
2,1562803478891,11/07/2019 00:04:38,1562803478889,-4,10/07/2019 20:04:38,8835,5,task-fdef,,2798002,5b134a12bd9c31000156d4e2,774636,,complete,,5d267bbd1f84d50001e2e322,computer,Desktop or Laptop,Chromium OS 11895.118.0,Chrome 74.0.3729.159,1366x768,1366x641,after questionnairs,Pre Max Tapping Instruction,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept
3,1562803488066,11/07/2019 00:04:48,1562803488141,-4,10/07/2019 20:04:48,8835,5,task-fdef,,2798002,5b134a12bd9c31000156d4e2,774636,,complete,,5d267bbd1f84d50001e2e322,computer,Desktop or Laptop,Chromium OS 11895.118.0,Chrome 74.0.3729.159,1366x768,1366x641,after questionnairs,Pre Max Tapping Instruction,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept
1,1562803653777,11/07/2019 00:07:33,1562803653437,-4,10/07/2019 20:07:33,8835,5,task-fdef,,2798010,5c2da96d0091e40001cb708c,774645,,complete,,5d267d0f22313100160599cd,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x625,after questionnairs,Pre Max Tapping Instruction,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept
2,1562803669750,11/07/2019 00:07:49,1562803669480,-4,10/07/2019 20:07:49,8835,5,task-fdef,,2798010,5c2da96d0091e40001cb708c,774645,,complete,,5d267d0f22313100160599cd,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x625,after questionnairs,Pre Max Tapping Instruction,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept
3,1562803676033,11/07/2019 00:07:56,1562803675748,-4,10/07/2019 20:07:55,8835,5,task-fdef,,2798010,5c2da96d0091e40001cb708c,774645,,complete,,5d267d0f22313100160599cd,computer,Desktop or Laptop,Windows 10,Chrome 75.0.3770.100,1366x768,1366x625,after questionnairs,Pre Max Tapping Instruction,3,High to Low,after consent,after demographics,after training,after fishing,after questionnairs,AMI_accept
END OF FILE
